t,kp_lin,ki_lin,kd_lin,kp_ang,ki_ang,kd_ang,v_ref,w_ref,v_meas,w_meas,reward
1770270924.3853662,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00048416648331916736,-0.0002904998899915004
1770270924.7897825,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0005092723929308102,-0.0002571467874265694
1770270925.1987395,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0003719888535798183,-0.00019972278072500835
1770270925.60836,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00040918007991102114,-0.00020830916258863085
1770270926.0159366,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0003855724532474452,-0.00019514698929008019
1770270926.4213202,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0003466140371639736,-0.00017720286019033395
1770270926.8298755,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00019160180624023363,-0.00011130212621249082
1770270927.2375112,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00031258197355167,-0.00016838900350697863
1770270927.6481621,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00031532857762337483,-0.0001579389492188579
1770270928.055014,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00029289612805364766,-0.00014869130898379656
1770270928.4657347,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00037477011162808434,-0.00019557245417148585
1770270928.8745363,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0003622145706174699,-0.0001823628394097964
1770270929.2818327,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00035024817183133356,-0.0001763207257942804
1770270929.6879218,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.000331629656284206,-0.00016767667969681577
1770270930.0946987,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.000327892510188844,-0.0001643199697039582
1770270930.5012116,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0002148274370675396,-0.00011872022584590025
1770270930.9106827,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00017274659833084417,-9.058138303909163e-05
1770270931.317603,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-8.68817732789509e-05,-5.202736914466478e-05
1770270931.727714,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00026439228393449675,-0.00014994719303280295
1770270932.1336432,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00012968760296114292,-7.831426957790684e-05
1770270932.5433939,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0001949620055220913,-0.00010400844301714048
1770270932.9817097,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00020783464561045705,-0.0001052045868140651
1770270933.3905797,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00026990300505047945,-0.00014115833846924195
1770270933.799559,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00023659660800760156,-0.00012162894370808857
1770270934.212531,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0002722036129631925,-0.00013966250697715536
1770270934.621589,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0003022858668947698,-0.00015415115884054263
1770270935.029185,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00031218951213040985,-0.00015708512058876893
1770270935.4379082,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00023120596076887988,-0.00012370133552059293
1770270935.8503695,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00023884088421632975,-0.00012018393445290986
1770270936.2560124,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00018447119157522892,-9.767256505172455e-05
1770270936.6661057,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00011179784471151326,-6.31662570421282e-05
1770270937.077015,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-7.720199151173762e-05,-4.2060581075846376e-05
1770270937.485348,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00010078304848237133,-5.274962993824904e-05
1770270937.8948867,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0002939346848167101,-0.00016628250604178892
1770270938.3015864,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0002461297754227021,-0.00012784537865075186
1770270938.717681,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.000324984595984934,-0.00017037778004869018
