t,kp_lin,ki_lin,kd_lin,kp_ang,ki_ang,kd_ang,v_ref,w_ref_raw,w_ref,v_meas,w_meas,reward
1770339092.1710622,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0003269336812153878,-0.0001961602087292327
1770339092.5777307,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0005480619004856389,-0.00029614377216984457
1770339092.9843948,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-3.2136467118638304e-05,-7.408807031974686e-05
1770339093.3922591,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.00011424936726913884,-7.176326707334713e-05
1770339093.7992713,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0002439956512486087,-0.0001578223274760791
1770339094.206753,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0005627769398758621,-0.0003132665988006564
1770339094.6145806,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0006016811268490815,-0.0003047309821218627
1770339095.0257866,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00014553138694002504,-0.00011838066746091818
1770339095.434734,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0005135515688859341,-0.000322684080025563
1770339095.8529723,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.003299340330003646,-0.0019282490411135942
1770339096.2600403,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0006203042020446353,-0.0007021165542271458
1770339096.6750143,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.000619890393785696,-0.00030998657771874193
1770339097.1082654,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0012838684886689199,-0.0007083320538227823
1770339097.539839,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0007175280330847775,-0.000415398062100803
1770339097.948639,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0005322399471296081,-0.000284648782160321
1770339098.3603444,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0002545823002070026,-0.00015505691479576186
1770339098.7803075,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,6.157280956184906e-05,-6.24019157578097e-05
1770339099.197063,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0002583706654217601,-0.00014886511829687114
1770339099.6100295,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,5.460841631390706e-05,-4.768043306773883e-05
1770339100.0206735,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.000819365851625989,-0.0004970803526069841
1770339100.4341514,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0003662974733301385,-0.0002284555744946543
1770339100.8410552,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0005978306774126216,-0.0003220686591145591
1770339101.2565496,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00024308232832346118,-0.00015701599907064662
1770339101.663613,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0009182609188113095,-0.0005752647841191318
1770339102.0707693,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.00018211801538722393,-0.00016467329803602053
1770339102.4764569,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0004192898573828358,-0.00023336211289097907
1770339102.883126,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00046416059505626075,-0.00032042534277204
1770339103.2913227,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.001334948823727086,-0.0007545532347306255
1770339103.7009947,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0010773899987341548,-0.0005644508818663705
1770339104.1137471,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00046458340071143194,-0.00029357236015798826
1770339104.5249975,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00037358375973706946,-0.000195891843965971
