wall_time,ros_time,chain,event,trans_delta_m,rot_delta_deg,age_sec,detail
2026-02-03T09:13:44.651,1770077624.651659,map->odom,STALE,0.000000,0.000000,0.100025,
2026-02-03T09:13:44.652,1770077624.652592,odom->base_link,STALE,0.000000,0.000000,0.126445,
2026-02-03T09:13:44.655,1770077624.655541,map->odom,STALE,0.000000,0.000000,0.103923,
2026-02-03T09:13:46.856,1770077626.856266,map->odom,STALE,0.000000,0.000000,0.104614,
2026-02-03T09:13:48.055,1770077628.055750,map->odom,STALE,0.000000,0.000000,0.103936,
2026-02-03T09:13:48.455,1770077628.455587,map->odom,STALE,0.000000,0.000000,0.103947,
2026-02-03T09:13:53.455,1770077633.455532,map->odom,STALE,0.000000,0.000000,0.103894,
2026-02-03T09:13:57.855,1770077637.855608,map->odom,STALE,0.000000,0.000000,0.103937,
2026-02-03T09:13:59.262,1770077639.262750,map->odom,STALE,0.000000,0.000000,0.111124,
2026-02-03T09:14:04.655,1770077644.655553,map->odom,STALE,0.000000,0.000000,0.103942,
2026-02-03T09:14:07.055,1770077647.055907,map->odom,STALE,0.000000,0.000000,0.104115,
2026-02-03T09:14:10.255,1770077650.255705,map->odom,STALE,0.000000,0.000000,0.104094,
2026-02-03T09:14:14.255,1770077654.255568,map->odom,STALE,0.000000,0.000000,0.103926,
2026-02-03T09:14:15.455,1770077655.455773,map->odom,STALE,0.000000,0.000000,0.104151,
2026-02-03T09:14:17.055,1770077657.055884,map->odom,STALE,0.000000,0.000000,0.103971,
2026-02-03T09:14:17.456,1770077657.456103,map->odom,STALE,0.000000,0.000000,0.104361,
2026-02-03T09:14:18.658,1770077658.658112,map->odom,STALE,0.000000,0.000000,0.106436,
2026-02-03T09:14:19.656,1770077659.656967,map->odom,STALE,0.000000,0.000000,0.105321,
2026-02-03T09:14:22.255,1770077662.255576,map->odom,STALE,0.000000,0.000000,0.103937,
2026-02-03T09:14:23.055,1770077663.055525,map->odom,STALE,0.000000,0.000000,0.103576,
2026-02-03T09:14:24.855,1770077664.855534,map->odom,STALE,0.000000,0.000000,0.103900,
2026-02-03T09:14:28.056,1770077668.056449,map->odom,STALE,0.000000,0.000000,0.104206,
2026-02-03T09:14:28.657,1770077668.657513,map->odom,STALE,0.000000,0.000000,0.105847,
2026-02-03T09:14:31.656,1770077671.656801,map->odom,STALE,0.000000,0.000000,0.105154,
2026-02-03T09:14:38.661,1770077678.661580,map->odom,STALE,0.000000,0.000000,0.109388,
2026-02-03T09:14:39.255,1770077679.255523,map->odom,STALE,0.000000,0.000000,0.103889,
2026-02-03T09:14:40.856,1770077680.856422,map->odom,STALE,0.000000,0.000000,0.104399,
2026-02-03T09:14:44.055,1770077684.055556,map->odom,STALE,0.000000,0.000000,0.103920,
2026-02-03T09:14:47.858,1770077687.858967,map->odom,STALE,0.000000,0.000000,0.107167,
2026-02-03T09:14:49.259,1770077689.259293,map->odom,STALE,0.000000,0.000000,0.107496,
2026-02-03T09:15:00.656,1770077700.656160,map->odom,STALE,0.000000,0.000000,0.104524,
2026-02-03T09:15:05.455,1770077705.455865,map->odom,STALE,0.000000,0.000000,0.104245,
2026-02-03T09:15:06.855,1770077706.855789,map->odom,STALE,0.000000,0.000000,0.104166,
2026-02-03T09:15:09.455,1770077709.455555,map->odom,STALE,0.000000,0.000000,0.103902,
2026-02-03T09:15:12.255,1770077712.255622,map->odom,STALE,0.000000,0.000000,0.103970,
2026-02-03T09:15:15.456,1770077715.456096,map->odom,STALE,0.000000,0.000000,0.104471,
2026-02-03T09:15:17.455,1770077717.455529,map->odom,STALE,0.000000,0.000000,0.103939,
2026-02-03T09:15:18.255,1770077718.255712,map->odom,STALE,0.000000,0.000000,0.104129,
2026-02-03T09:15:21.259,1770077721.259653,map->odom,STALE,0.000000,0.000000,0.108047,
2026-02-03T09:15:21.457,1770077721.457074,map->odom,STALE,0.000000,0.000000,0.103928,
2026-02-03T09:15:24.656,1770077724.656280,map->odom,STALE,0.000000,0.000000,0.104622,
2026-02-03T09:15:26.056,1770077726.056333,map->odom,STALE,0.000000,0.000000,0.104001,
2026-02-03T09:15:28.456,1770077728.456207,map->odom,STALE,0.000000,0.000000,0.104293,
2026-02-03T09:15:29.056,1770077729.056254,map->odom,STALE,0.000000,0.000000,0.104547,
2026-02-03T09:15:29.460,1770077729.460260,map->odom,STALE,0.000000,0.000000,0.108621,
2026-02-03T09:15:29.655,1770077729.655477,map->odom,STALE,0.000000,0.000000,0.103825,
2026-02-03T09:15:30.055,1770077730.055651,map->odom,STALE,0.000000,0.000000,0.104011,
2026-02-03T09:15:34.658,1770077734.658240,map->odom,STALE,0.000000,0.000000,0.106583,
