wall_time,ros_time,chain,event,trans_delta_m,rot_delta_deg,age_sec,detail
2026-02-03T10:43:45.441,1770083025.441826,odom->base_link,STALE,0.000000,0.000000,0.114759,
2026-02-03T10:43:45.905,1770083025.905852,odom->base_link,STALE,0.000000,0.000000,0.118540,
2026-02-03T10:43:45.939,1770083025.939201,odom->base_link,STALE,0.000000,0.000000,0.151887,
2026-02-03T10:43:45.972,1770083025.972390,map->odom,STALE,0.000000,0.000000,0.116173,
2026-02-03T10:43:45.972,1770083025.972835,odom->base_link,STALE,0.000000,0.000000,0.185520,
2026-02-03T10:43:46.005,1770083026.005675,map->odom,STALE,0.000000,0.000000,0.149460,
2026-02-03T10:43:46.006,1770083026.006102,odom->base_link,STALE,0.000000,0.000000,0.218788,
2026-02-03T10:43:46.039,1770083026.039109,map->odom,STALE,0.000000,0.000000,0.182884,
2026-02-03T10:43:46.039,1770083026.039627,odom->base_link,STALE,0.000000,0.000000,0.252310,
2026-02-03T10:43:46.072,1770083026.072374,map->odom,STALE,0.000000,0.000000,0.216157,
2026-02-03T10:43:46.072,1770083026.072809,odom->base_link,STALE,0.000000,0.000000,0.285497,
2026-02-03T10:43:46.105,1770083026.105767,map->odom,STALE,0.000000,0.000000,0.249555,
2026-02-03T10:43:46.106,1770083026.106193,odom->base_link,STALE,0.000000,0.000000,0.318879,
2026-02-03T10:43:46.139,1770083026.139001,map->odom,STALE,0.000000,0.000000,0.282788,
2026-02-03T10:43:46.139,1770083026.139437,odom->base_link,STALE,0.000000,0.000000,0.352121,
2026-02-03T10:43:46.571,1770083026.571677,odom->base_link,STALE,0.000000,0.000000,0.113984,
2026-02-03T10:43:46.604,1770083026.604850,odom->base_link,STALE,0.000000,0.000000,0.119372,
2026-02-03T10:43:46.620,1770083026.620218,odom->base_link,STALE,0.000000,0.000000,0.134740,
2026-02-03T10:43:47.497,1770083027.497153,odom->base_link,STALE,0.000000,0.000000,0.109301,
2026-02-03T10:43:47.562,1770083027.562122,odom->base_link,STALE,0.000000,0.000000,0.135692,
2026-02-03T10:43:47.586,1770083027.586502,odom->base_link,STALE,0.000000,0.000000,0.116809,
2026-02-03T10:44:37.505,1770083077.505838,odom->base_link,JUMP,0.009416,2.039168,0.010422,
2026-02-03T10:44:39.406,1770083079.406552,odom->base_link,JUMP,0.017304,2.132171,0.015382,
2026-02-03T10:44:44.472,1770083084.472553,odom->base_link,JUMP,0.023547,2.580327,0.011175,
2026-02-03T10:44:53.472,1770083093.472415,map->odom,JUMP,0.031803,0.203437,-0.083787,
2026-02-03T10:44:53.938,1770083093.938976,map->odom,JUMP,0.064650,0.486719,-0.067827,
2026-02-03T10:44:55.272,1770083095.272479,map->odom,JUMP,0.033544,0.462895,-0.083717,
2026-02-03T10:45:00.672,1770083100.672333,map->odom,JUMP,0.040798,0.496060,-0.083860,
2026-02-03T10:45:01.372,1770083101.372599,map->odom,JUMP,0.051172,0.499371,-0.083660,
2026-02-03T10:45:01.972,1770083101.972414,map->odom,JUMP,0.051348,0.452176,-0.083798,
2026-02-03T10:45:03.172,1770083103.172762,map->odom,JUMP,0.037772,0.300110,-0.083461,
2026-02-03T10:45:05.972,1770083105.972743,map->odom,JUMP,0.030694,0.287867,-0.083882,
2026-02-03T10:45:06.538,1770083106.538941,map->odom,JUMP,0.036268,0.357585,-0.067315,
2026-02-03T10:45:15.305,1770083115.305715,odom->base_link,JUMP,0.031702,0.102826,0.013699,
2026-02-03T10:45:16.572,1770083116.572569,odom->base_link,JUMP,0.032931,0.530676,0.010470,
2026-02-03T10:45:17.473,1770083117.473095,odom->base_link,JUMP,0.033845,1.098346,0.010928,
2026-02-03T10:45:17.772,1770083117.772600,odom->base_link,JUMP,0.032846,1.313953,0.015440,
2026-02-03T10:45:18.739,1770083118.739180,odom->base_link,JUMP,0.033138,1.224803,0.012057,
2026-02-03T10:45:20.872,1770083120.872504,odom->base_link,JUMP,0.031103,1.184577,0.019889,
2026-02-03T10:45:21.239,1770083121.239013,odom->base_link,JUMP,0.040351,1.297465,0.010798,
2026-02-03T10:45:21.439,1770083121.439238,odom->base_link,JUMP,0.034427,1.036513,0.011073,
2026-02-03T10:45:21.974,1770083121.974705,odom->base_link,JUMP,0.027931,2.186670,0.010898,
