wall_time,ros_time,chain,event,trans_delta_m,rot_delta_deg,age_sec,detail
2026-02-03T10:00:24.000,1770080424.000791,map->odom,MISSING,0.000000,0.000000,0.000000,"""map"" passed to lookupTransform argument target_frame does not exist. "
2026-02-03T10:00:24.581,1770080424.581370,odom->base_link,STALE,0.000000,0.000000,0.110826,
2026-02-03T10:00:24.616,1770080424.616426,odom->base_link,STALE,0.000000,0.000000,0.111155,
2026-02-03T10:01:58.799,1770080518.799520,map->odom,JUMP,0.033977,0.234636,-0.071555,
2026-02-03T10:01:59.332,1770080519.332976,odom->base_link,JUMP,0.000007,2.225505,0.028915,
2026-02-03T10:01:59.366,1770080519.366199,odom->base_link,JUMP,0.000086,2.065980,0.028625,
2026-02-03T10:01:59.399,1770080519.399399,map->odom,JUMP,0.045109,0.524690,-0.072292,
2026-02-03T10:01:59.466,1770080519.466366,odom->base_link,JUMP,0.000055,2.041566,0.026478,
2026-02-03T10:01:59.566,1770080519.566411,odom->base_link,JUMP,0.000029,2.182883,0.024287,
2026-02-03T10:01:59.666,1770080519.666250,odom->base_link,JUMP,0.000087,2.107349,0.026022,
2026-02-03T10:02:00.434,1770080520.434411,odom->base_link,JUMP,0.000116,2.139616,0.026355,
2026-02-03T10:02:00.748,1770080520.748643,odom->base_link,JUMP,0.000375,2.019840,0.043730,
2026-02-03T10:02:01.033,1770080521.033079,odom->base_link,JUMP,0.000136,2.390675,0.021221,
2026-02-03T10:02:01.570,1770080521.570002,odom->base_link,JUMP,0.000433,2.095136,0.032540,
2026-02-03T10:02:01.599,1770080521.599622,odom->base_link,JUMP,0.000511,2.091081,0.028231,
2026-02-03T10:02:01.632,1770080521.632777,map->odom,JUMP,0.042203,0.769904,-0.088228,
2026-02-03T10:02:01.633,1770080521.633157,odom->base_link,JUMP,0.000298,2.075283,0.027883,
2026-02-03T10:02:02.133,1770080522.133148,map->odom,JUMP,0.060909,0.753201,-0.088195,
2026-02-03T10:02:02.699,1770080522.699694,map->odom,JUMP,0.064502,0.687521,-0.071331,
2026-02-03T10:02:03.432,1770080523.432765,map->odom,JUMP,0.033183,0.476905,-0.088283,
2026-02-03T10:02:08.632,1770080528.632847,map->odom,JUMP,0.032035,0.336124,-0.088198,
2026-02-03T10:02:11.233,1770080531.233161,map->odom,JUMP,0.032336,0.349930,-0.087864,
2026-02-03T10:02:11.732,1770080531.732785,map->odom,JUMP,0.035547,0.368890,-0.088256,
2026-02-03T10:02:17.199,1770080537.199575,map->odom,JUMP,0.034370,0.564535,-0.071461,
2026-02-03T10:02:19.599,1770080539.599417,map->odom,JUMP,0.037498,0.462720,-0.071596,
2026-02-03T10:02:20.134,1770080540.133998,map->odom,JUMP,0.034832,0.389060,-0.087018,
2026-02-03T10:03:11.966,1770080591.966520,odom->base_link,JUMP,0.000163,2.341865,0.018193,
2026-02-03T10:03:12.932,1770080592.932906,odom->base_link,JUMP,0.019860,2.182294,0.029019,
2026-02-03T10:03:12.966,1770080592.966250,odom->base_link,JUMP,0.018878,2.115394,0.029098,
2026-02-03T10:03:13.932,1770080593.932937,odom->base_link,JUMP,0.016538,2.061244,0.029110,
2026-02-03T10:03:13.966,1770080593.966276,odom->base_link,JUMP,0.016338,2.073542,0.029000,
2026-02-03T10:03:14.033,1770080594.033042,odom->base_link,JUMP,0.016682,2.048523,0.029262,
2026-02-03T10:03:14.066,1770080594.066927,odom->base_link,JUMP,0.017326,2.245795,0.029792,
2026-02-03T10:03:14.099,1770080594.099719,odom->base_link,JUMP,0.018637,2.338653,0.025891,
2026-02-03T10:03:14.599,1770080594.599871,odom->base_link,JUMP,0.014666,2.238132,0.023556,
2026-02-03T10:03:14.766,1770080594.766326,odom->base_link,JUMP,0.011869,2.216597,0.028795,
2026-02-03T10:03:14.799,1770080594.799547,odom->base_link,JUMP,0.011727,2.060903,0.029068,
2026-02-03T10:03:14.832,1770080594.832982,odom->base_link,JUMP,0.012275,2.177297,0.028513,
2026-02-03T10:03:15.266,1770080595.266398,odom->base_link,JUMP,0.011981,2.191162,0.029347,
2026-02-03T10:03:15.300,1770080595.300075,odom->base_link,JUMP,0.012396,2.069108,0.029560,
2026-02-03T10:03:15.332,1770080595.332913,odom->base_link,JUMP,0.012549,2.170539,0.029097,
2026-02-03T10:03:15.366,1770080595.366125,odom->base_link,JUMP,0.012703,2.161051,0.028494,
2026-02-03T10:03:15.399,1770080595.399535,odom->base_link,JUMP,0.012746,2.019641,0.028462,
2026-02-03T10:03:15.432,1770080595.432898,odom->base_link,JUMP,0.012343,2.022395,0.029028,
2026-02-03T10:03:15.733,1770080595.733118,odom->base_link,JUMP,0.013596,2.073710,0.029286,
2026-02-03T10:03:15.766,1770080595.766361,odom->base_link,JUMP,0.013568,2.225521,0.028548,
2026-02-03T10:03:15.799,1770080595.799573,odom->base_link,JUMP,0.018150,2.812068,0.016726,
2026-02-03T10:03:15.871,1770080595.871008,odom->base_link,JUMP,0.014601,2.131199,0.033858,
2026-02-03T10:03:15.903,1770080595.903566,odom->base_link,JUMP,0.013553,2.022156,0.032972,
2026-02-03T10:03:21.332,1770080601.332945,map->odom,JUMP,0.031106,0.781773,-0.088109,
2026-02-03T10:03:25.932,1770080605.932901,odom->base_link,JUMP,0.007939,2.066574,0.028659,
2026-02-03T10:03:25.966,1770080605.966275,odom->base_link,JUMP,0.007374,2.120916,0.028954,
2026-02-03T10:03:26.033,1770080606.033067,odom->base_link,JUMP,0.005836,2.097033,0.029306,
2026-02-03T10:03:26.066,1770080606.066280,odom->base_link,JUMP,0.004509,2.126625,0.029137,
2026-02-03T10:03:26.099,1770080606.099664,odom->base_link,JUMP,0.004818,2.073012,0.028754,
2026-02-03T10:03:26.466,1770080606.466480,odom->base_link,JUMP,0.003640,2.393639,0.020734,
2026-02-03T10:03:26.566,1770080606.566331,odom->base_link,JUMP,0.005409,2.187612,0.029148,
2026-02-03T10:03:26.599,1770080606.599662,odom->base_link,JUMP,0.005522,2.184386,0.028799,
2026-02-03T10:03:26.632,1770080606.632913,odom->base_link,JUMP,0.005945,2.272392,0.029078,
2026-02-03T10:03:26.666,1770080606.666306,odom->base_link,JUMP,0.007981,2.192155,0.029165,
2026-02-03T10:03:26.699,1770080606.699575,odom->base_link,JUMP,0.007935,2.139544,0.028619,
2026-02-03T10:03:26.734,1770080606.734888,odom->base_link,JUMP,0.008503,2.021646,0.030479,
2026-02-03T10:03:41.932,1770080621.932781,map->odom,JUMP,0.045071,0.948494,-0.088267,
2026-02-03T10:03:57.099,1770080637.099446,map->odom,JUMP,0.045431,0.482703,-0.071783,
2026-02-03T10:03:58.732,1770080638.732731,map->odom,JUMP,0.062174,0.678090,-0.088298,
2026-02-03T10:03:59.519,1770080639.519067,odom->base_link,JUMP,0.031211,0.061191,0.048004,
2026-02-03T10:03:59.811,1770080639.810987,odom->base_link,STALE,0.000000,0.000000,0.107111,
2026-02-03T10:03:59.846,1770080639.846445,odom->base_link,STALE,0.000000,0.000000,0.108631,
2026-02-03T10:03:59.913,1770080639.913640,odom->base_link,JUMP,0.035929,0.004464,0.098257,
2026-02-03T10:03:59.946,1770080639.946253,odom->base_link,JUMP,0.037180,0.211443,0.039360,
2026-02-03T10:04:00.277,1770080640.277341,odom->base_link,STALE,0.000000,0.000000,0.101029,
2026-02-03T10:04:00.727,1770080640.727209,odom->base_link,STALE,0.000000,0.000000,0.123051,
2026-02-03T10:04:00.742,1770080640.742646,odom->base_link,STALE,0.000000,0.000000,0.104464,
