wall_time,ros_time,chain,event,trans_delta_m,rot_delta_deg,age_sec,detail
2026-02-03T10:19:39.207,1770081579.207470,odom->base_link,MISSING,0.000000,0.000000,0.000000,"""base_link"" passed to lookupTransform argument source_frame does not exist. "
2026-02-03T10:19:39.274,1770081579.274086,map->odom,STALE,0.000000,0.000000,0.114684,
2026-02-03T10:19:39.307,1770081579.307185,map->odom,STALE,0.000000,0.000000,0.147805,
2026-02-03T10:19:39.340,1770081579.340692,map->odom,STALE,0.000000,0.000000,0.181305,
2026-02-03T10:19:39.374,1770081579.374065,map->odom,STALE,0.000000,0.000000,0.214674,
2026-02-03T10:19:39.407,1770081579.407316,map->odom,STALE,0.000000,0.000000,0.247921,
2026-02-03T10:19:39.454,1770081579.454211,odom->base_link,STALE,0.000000,0.000000,0.804958,
2026-02-03T10:19:39.482,1770081579.482475,odom->base_link,STALE,0.000000,0.000000,0.734178,
2026-02-03T10:19:39.507,1770081579.507287,odom->base_link,STALE,0.000000,0.000000,0.528987,
2026-02-03T10:20:49.140,1770081649.140514,map->odom,JUMP,0.010891,2.780218,-0.069089,
2026-02-03T10:20:50.740,1770081650.740816,odom->base_link,JUMP,0.000090,2.000413,0.027106,
2026-02-03T10:20:52.073,1770081652.073964,odom->base_link,JUMP,0.000013,2.006106,0.024699,
2026-02-03T10:20:52.240,1770081652.240744,odom->base_link,JUMP,0.000031,2.308972,0.025215,
2026-02-03T10:21:00.307,1770081660.307455,odom->base_link,JUMP,0.012016,2.018177,0.032177,
2026-02-03T10:21:15.240,1770081675.240757,map->odom,JUMP,0.075722,0.504367,-0.068635,
2026-02-03T10:21:15.873,1770081675.873858,map->odom,JUMP,0.074043,0.632924,-0.085559,
2026-02-03T10:21:16.040,1770081676.040876,odom->base_link,JUMP,0.000009,2.029068,0.028353,
2026-02-03T10:21:16.473,1770081676.473818,map->odom,JUMP,0.047038,0.533084,-0.085597,
2026-02-03T10:21:18.774,1770081678.774790,map->odom,JUMP,0.042835,0.646876,-0.085262,
2026-02-03T10:21:19.274,1770081679.274153,map->odom,JUMP,0.060268,0.619263,-0.087769,
2026-02-03T10:21:19.773,1770081679.773929,map->odom,JUMP,0.064878,0.569299,-0.085493,
2026-02-03T10:21:20.274,1770081680.274035,map->odom,JUMP,0.072561,0.603355,-0.085430,
2026-02-03T10:21:20.840,1770081680.840562,map->odom,JUMP,0.070462,0.520638,-0.068831,
2026-02-03T10:21:25.840,1770081685.840786,map->odom,JUMP,0.037723,0.337930,-0.068650,
2026-02-03T10:21:27.273,1770081687.273872,map->odom,JUMP,0.040854,0.353225,-0.085729,
2026-02-03T10:21:36.140,1770081696.140603,map->odom,JUMP,0.030104,0.253428,-0.068803,
2026-02-03T10:22:15.475,1770081735.475259,map->odom,JUMP,0.031220,0.346429,-0.084134,
2026-02-03T10:22:17.874,1770081737.874078,map->odom,JUMP,0.042351,0.588267,-0.085323,
2026-02-03T10:22:42.040,1770081762.040581,map->odom,JUMP,0.054590,0.908266,-0.068837,
2026-02-03T10:22:53.640,1770081773.640661,map->odom,JUMP,0.059324,1.186011,-0.068739,
2026-02-03T10:23:23.240,1770081803.240654,map->odom,JUMP,0.068359,1.007633,-0.068750,
2026-02-03T10:23:27.173,1770081807.173867,map->odom,JUMP,0.076392,0.767189,-0.085558,
2026-02-03T10:23:28.240,1770081808.240653,map->odom,JUMP,0.149153,1.317984,-0.068794,
2026-02-03T10:23:29.373,1770081809.373869,map->odom,JUMP,0.042930,0.508232,-0.085569,
2026-02-03T10:23:31.543,1770081811.542976,map->odom,JUMP,0.052759,0.777338,-0.068249,
2026-02-03T10:23:32.541,1770081812.541814,map->odom,JUMP,0.041036,0.418810,-0.067613,
2026-02-03T10:23:33.473,1770081813.473872,map->odom,JUMP,0.053423,0.827677,-0.085563,
2026-02-03T10:23:35.073,1770081815.073864,map->odom,JUMP,0.077018,0.635016,-0.085544,
2026-02-03T10:23:38.573,1770081818.573965,map->odom,JUMP,0.167024,1.592030,-0.085864,
2026-02-03T10:23:42.040,1770081822.040606,map->odom,JUMP,0.031810,0.540815,-0.069712,
2026-02-03T10:23:56.875,1770081836.875182,map->odom,JUMP,0.196079,2.818233,-0.084229,
2026-02-03T10:23:57.440,1770081837.440761,odom->base_link,JUMP,0.005570,2.009237,0.026967,
2026-02-03T10:23:57.507,1770081837.507421,odom->base_link,JUMP,0.004253,2.015580,0.028635,
2026-02-03T10:23:57.573,1770081837.573986,odom->base_link,JUMP,0.003838,2.206114,0.025210,
2026-02-03T10:23:57.642,1770081837.642154,odom->base_link,JUMP,0.001479,2.186948,0.028388,
2026-02-03T10:23:57.674,1770081837.674635,odom->base_link,JUMP,0.001244,2.096558,0.025875,
2026-02-03T10:23:57.747,1770081837.747950,odom->base_link,JUMP,0.000064,2.143430,0.034196,
2026-02-03T10:23:57.807,1770081837.807856,odom->base_link,JUMP,0.000355,2.014216,0.029113,
2026-02-03T10:23:57.907,1770081837.907214,map->odom,JUMP,0.035612,0.274079,-0.065262,
2026-02-03T10:23:58.207,1770081838.207405,odom->base_link,JUMP,0.000087,2.316966,0.028729,
2026-02-03T10:23:58.240,1770081838.240697,odom->base_link,JUMP,0.000050,2.056535,0.027022,
2026-02-03T10:23:58.307,1770081838.307333,odom->base_link,JUMP,0.000050,2.059838,0.028667,
2026-02-03T10:23:58.374,1770081838.374028,odom->base_link,JUMP,0.001327,2.391675,0.024747,
2026-02-03T10:24:00.340,1770081840.340936,map->odom,JUMP,0.072860,1.244640,-0.069004,
