wall_time,ros_time,chain,event,trans_delta_m,rot_delta_deg,age_sec,detail
2026-02-03T11:03:28.352,1770084208.352526,map->odom,MISSING,0.000000,0.000000,0.000000,"""map"" passed to lookupTransform argument target_frame does not exist. "
2026-02-03T11:03:28.353,1770084208.353028,odom->base_link,MISSING,0.000000,0.000000,0.000000,"""odom"" passed to lookupTransform argument target_frame does not exist. "
2026-02-03T11:03:28.852,1770084208.852597,map->odom,MISSING,0.000000,0.000000,0.000000,"""map"" passed to lookupTransform argument target_frame does not exist. "
2026-02-03T11:03:28.886,1770084208.886000,odom->base_link,MISSING,0.000000,0.000000,0.000000,"""odom"" passed to lookupTransform argument target_frame does not exist. "
2026-02-03T11:03:29.386,1770084209.386756,odom->base_link,MISSING,0.000000,0.000000,0.000000,Could not find a connection between 'odom' and 'base_link' because they are not part of the same tree.Tf has two or more unconnected trees.
2026-02-03T11:03:29.891,1770084209.891670,odom->base_link,MISSING,0.000000,0.000000,0.000000,Could not find a connection between 'odom' and 'base_link' because they are not part of the same tree.Tf has two or more unconnected trees.
2026-02-03T11:03:30.255,1770084210.255678,odom->base_link,STALE,0.000000,0.000000,0.259524,
2026-02-03T11:03:30.307,1770084210.307247,odom->base_link,STALE,0.000000,0.000000,0.176100,
2026-02-03T11:03:30.322,1770084210.322422,odom->base_link,STALE,0.000000,0.000000,0.141276,
2026-02-03T11:03:30.497,1770084210.497368,odom->base_link,STALE,0.000000,0.000000,0.106180,
2026-02-03T11:03:30.517,1770084210.517737,odom->base_link,STALE,0.000000,0.000000,0.126592,
2026-02-03T11:03:30.539,1770084210.539666,odom->base_link,STALE,0.000000,0.000000,0.113530,
2026-02-03T11:05:32.086,1770084332.086155,odom->base_link,JUMP,0.000114,2.347562,0.027304,
2026-02-03T11:07:39.422,1770084459.422006,odom->base_link,JUMP,0.000003,2.024019,0.026938,
2026-02-03T11:07:39.453,1770084459.453536,odom->base_link,JUMP,0.000021,2.113578,0.023457,
2026-02-03T11:07:39.552,1770084459.552764,odom->base_link,JUMP,0.000016,2.396100,0.022692,
2026-02-03T11:07:39.619,1770084459.619584,odom->base_link,JUMP,0.000012,2.344181,0.024517,
2026-02-03T11:07:39.819,1770084459.819470,odom->base_link,JUMP,0.000018,2.271566,0.024394,
2026-02-03T11:07:39.852,1770084459.852921,odom->base_link,JUMP,0.000083,2.041782,0.022845,
2026-02-03T11:07:39.919,1770084459.919600,odom->base_link,JUMP,0.000021,2.092299,0.024527,
2026-02-03T11:07:39.953,1770084459.952998,odom->base_link,JUMP,0.000208,2.100180,0.022922,
2026-02-03T11:07:40.059,1770084460.059235,odom->base_link,JUMP,0.000171,2.314131,0.028952,
2026-02-03T11:07:40.219,1770084460.219591,odom->base_link,JUMP,0.000161,2.140653,0.024506,
2026-02-03T11:07:40.286,1770084460.286341,odom->base_link,JUMP,0.000358,2.193111,0.026246,
