wall_time,ros_time,chain,event,trans_delta_m,rot_delta_deg,age_sec,detail
2026-02-03T14:29:19.966,1770096559.966887,map->odom,MISSING,0.000000,0.000000,0.000000,"""map"" passed to lookupTransform argument target_frame does not exist. "
2026-02-03T14:29:19.967,1770096559.967295,odom->base_link,MISSING,0.000000,0.000000,0.000000,"""odom"" passed to lookupTransform argument target_frame does not exist. "
2026-02-03T14:29:20.471,1770096560.471147,odom->base_link,MISSING,0.000000,0.000000,0.000000,Could not find a connection between 'odom' and 'base_link' because they are not part of the same tree.Tf has two or more unconnected trees.
2026-02-03T14:29:21.000,1770096561.000688,odom->base_link,MISSING,0.000000,0.000000,0.000000,Could not find a connection between 'odom' and 'base_link' because they are not part of the same tree.Tf has two or more unconnected trees.
2026-02-03T14:29:21.500,1770096561.500751,odom->base_link,MISSING,0.000000,0.000000,0.000000,Could not find a connection between 'odom' and 'base_link' because they are not part of the same tree.Tf has two or more unconnected trees.
2026-02-03T14:31:14.333,1770096674.333582,odom->base_link,JUMP,0.006157,2.015283,0.033972,
2026-02-03T14:31:14.367,1770096674.367090,odom->base_link,JUMP,0.005335,2.110645,0.032472,
2026-02-03T14:31:14.400,1770096674.400250,odom->base_link,JUMP,0.005121,2.225017,0.030625,
2026-02-03T14:31:14.476,1770096674.476420,odom->base_link,JUMP,0.005998,2.626226,0.041778,
2026-02-03T14:31:15.300,1770096675.300340,odom->base_link,JUMP,0.005865,2.674185,0.030480,
2026-02-03T14:31:15.366,1770096675.366898,odom->base_link,JUMP,0.006555,4.046708,0.037036,
2026-02-03T14:31:15.400,1770096675.400255,odom->base_link,JUMP,0.005045,2.751166,0.035391,
2026-02-03T14:31:15.433,1770096675.433546,odom->base_link,JUMP,0.005429,2.552886,0.033683,
2026-02-03T14:31:15.466,1770096675.466892,odom->base_link,JUMP,0.004567,2.195808,0.032030,
2026-02-03T14:31:23.566,1770096683.566974,odom->base_link,JUMP,0.002251,2.387933,0.035513,
2026-02-03T14:31:27.333,1770096687.333812,odom->base_link,JUMP,0.008034,2.144102,0.031659,
2026-02-03T14:31:44.833,1770096704.833574,odom->base_link,JUMP,0.008914,2.317300,0.032182,
2026-02-03T14:32:01.833,1770096721.833812,odom->base_link,JUMP,0.000605,2.103610,0.034776,
2026-02-03T14:32:07.302,1770096727.302937,odom->base_link,JUMP,0.000123,2.282630,0.036587,
2026-02-03T14:32:07.433,1770096727.433564,odom->base_link,JUMP,0.000023,2.321966,0.029038,
2026-02-03T14:32:07.467,1770096727.467871,odom->base_link,JUMP,0.000104,2.161925,0.032997,
2026-02-03T14:32:07.533,1770096727.533548,odom->base_link,JUMP,0.000134,2.260147,0.033650,
2026-02-03T14:32:07.566,1770096727.566870,odom->base_link,JUMP,0.000033,2.311824,0.031962,
2026-02-03T14:32:07.600,1770096727.600274,odom->base_link,JUMP,0.000053,2.090249,0.035090,
2026-02-03T14:32:07.633,1770096727.633596,odom->base_link,JUMP,0.000068,2.364095,0.033667,
2026-02-03T14:32:07.668,1770096727.668680,odom->base_link,JUMP,0.000081,2.174910,0.033740,
2026-02-03T14:32:34.266,1770096754.266931,odom->base_link,JUMP,0.000267,2.010956,0.031765,
2026-02-03T14:32:34.333,1770096754.333567,odom->base_link,JUMP,0.000302,2.712319,0.033406,
2026-02-03T14:32:34.400,1770096754.400200,odom->base_link,JUMP,0.000105,2.271907,0.035045,
2026-02-03T14:32:34.433,1770096754.433550,odom->base_link,JUMP,0.000239,2.416196,0.033393,
2026-02-03T14:32:34.467,1770096754.467123,odom->base_link,JUMP,0.000124,2.951846,0.031968,
2026-02-03T14:32:34.507,1770096754.507206,odom->base_link,JUMP,0.000131,2.920216,0.037057,
2026-02-03T14:32:34.533,1770096754.533563,odom->base_link,JUMP,0.000120,2.813169,0.033413,
