wall_time,ros_time,chain,event,trans_delta_m,rot_delta_deg,age_sec,detail
2026-02-03T14:42:34.884,1770097354.884020,odom->base_link,MISSING,0.000000,0.000000,0.000000,Could not find a connection between 'odom' and 'base_link' because they are not part of the same tree.Tf has two or more unconnected trees.
2026-02-03T14:42:35.055,1770097355.055048,odom->base_link,STALE,0.000000,0.000000,0.625637,
2026-02-03T14:42:35.079,1770097355.079402,odom->base_link,STALE,0.000000,0.000000,0.238520,
2026-02-03T14:45:50.011,1770097550.011868,odom->base_link,JUMP,0.008369,2.299120,0.018111,
2026-02-03T14:45:51.344,1770097551.344346,odom->base_link,JUMP,0.000060,2.376890,0.015505,
2026-02-03T14:45:51.477,1770097551.477755,odom->base_link,JUMP,0.000077,2.173291,0.018891,
2026-02-03T14:45:51.577,1770097551.577835,odom->base_link,JUMP,0.000013,2.156725,0.018938,
2026-02-03T14:45:51.711,1770097551.711371,odom->base_link,JUMP,0.000061,2.016302,0.017463,
2026-02-03T14:45:51.944,1770097551.944391,odom->base_link,JUMP,0.000083,2.117811,0.015440,
2026-02-03T14:45:52.077,1770097552.077693,odom->base_link,JUMP,0.000041,3.473018,0.018723,
2026-02-03T14:45:52.611,1770097552.611047,odom->base_link,JUMP,0.000005,3.323755,0.021997,
2026-02-03T14:45:52.677,1770097552.677867,odom->base_link,JUMP,0.000005,2.016482,0.018811,
2026-02-03T14:45:53.044,1770097553.044424,odom->base_link,JUMP,0.000076,2.350291,0.015337,
2026-02-03T14:45:53.211,1770097553.211115,odom->base_link,JUMP,0.000421,3.344432,0.017019,
