wall_time,ros_time,chain,event,trans_delta_m,rot_delta_deg,age_sec,detail
2026-02-03T14:10:52.623,1770095452.623314,map->odom,MISSING,0.000000,0.000000,0.000000,"""map"" passed to lookupTransform argument target_frame does not exist. "
2026-02-03T14:10:52.623,1770095452.623722,odom->base_link,MISSING,0.000000,0.000000,0.000000,"""odom"" passed to lookupTransform argument target_frame does not exist. "
2026-02-03T14:10:53.155,1770095453.155215,map->odom,MISSING,0.000000,0.000000,0.000000,"""map"" passed to lookupTransform argument target_frame does not exist. "
2026-02-03T14:10:53.155,1770095453.155667,odom->base_link,MISSING,0.000000,0.000000,0.000000,"""odom"" passed to lookupTransform argument target_frame does not exist. "
2026-02-03T14:10:53.425,1770095453.425045,odom->base_link,STALE,0.000000,0.000000,1.034887,
2026-02-03T14:10:53.459,1770095453.459246,odom->base_link,STALE,0.000000,0.000000,1.004342,
2026-02-03T14:10:53.492,1770095453.492321,odom->base_link,STALE,0.000000,0.000000,0.940950,
2026-02-03T14:10:53.524,1770095453.524593,odom->base_link,STALE,0.000000,0.000000,0.773108,
2026-02-03T14:10:53.557,1770095453.557825,odom->base_link,STALE,0.000000,0.000000,0.440013,
2026-02-03T14:10:53.596,1770095453.596223,odom->base_link,STALE,0.000000,0.000000,0.140703,
2026-02-03T14:10:54.995,1770095454.995550,odom->base_link,STALE,0.000000,0.000000,0.104467,
2026-02-03T14:10:55.008,1770095455.008014,odom->base_link,STALE,0.000000,0.000000,0.117210,
2026-02-03T14:12:14.155,1770095534.155041,odom->base_link,JUMP,0.000068,2.101011,0.003876,
2026-02-03T14:12:14.189,1770095534.189016,odom->base_link,JUMP,0.000042,2.123054,0.004527,
2026-02-03T14:12:14.221,1770095534.221556,odom->base_link,JUMP,0.000053,2.137297,0.003772,
2026-02-03T14:12:14.288,1770095534.288390,odom->base_link,JUMP,0.000124,2.059843,0.003685,
2026-02-03T14:12:14.457,1770095534.457318,odom->base_link,JUMP,0.000336,2.970361,0.006087,
2026-02-03T14:12:14.690,1770095534.690204,odom->base_link,JUMP,0.000253,3.311337,0.005695,
2026-02-03T14:12:14.791,1770095534.791024,odom->base_link,JUMP,0.000102,3.267790,0.006566,
2026-02-03T14:12:15.088,1770095535.088357,odom->base_link,JUMP,0.000102,3.103151,0.003821,
2026-02-03T14:12:15.222,1770095535.222368,odom->base_link,JUMP,0.000026,3.325422,0.003362,
2026-02-03T14:12:15.490,1770095535.490040,odom->base_link,JUMP,0.000003,3.303877,0.005571,
2026-02-03T14:12:15.821,1770095535.821416,odom->base_link,JUMP,0.000006,3.509908,0.003638,
2026-02-03T14:12:16.188,1770095536.188118,odom->base_link,JUMP,0.000137,3.182785,0.003593,
